id;email;password;phone_number;role
1;Alia54@hotmail.com;Peso Public-key Practical;Loan Shoes;SALE
2;Nikki.Pfannerstill@hotmail.com;pixel Producer Throughway;Avon Rustic;SERVICE_MANAGER
3;Seamus.Ziemann92@yahoo.com;yellow best-of-breed Factors;deposit Wes;SERVICE_MANAGER
4;Shirley.Hilll@yahoo.com;synergies;CheeseXXXX;SUPERVISOR
5;Adrienne88@yahoo.com;Inverse Secured base;BordersXXX;SALE
6;Geovanni.Batz@gmail.com;feed Synchronised Borders;Generic Imp;SALE
7;Kayla.Gutkowski13@hotmail.com;Mills;payment Nev;SALE
8;Priscilla1@hotmail.com;generate;MountainsX;SALE
9;Christ.Cartwright@hotmail.com;generation SMS non-volatile;Clothing Sa;SUPERVISOR
10;Melissa26@hotmail.com;transmitter Carolina;Wooden rede;SUPERVISOR
