id;customer_name;customer_city;phone_number;type;address
1;Sao withdrawal Avon;Plastic override SQL;Designer SD;transmitting SCSI;infrastructures pixel
2;Metal;Human;MoviesXXXX;Brook;Arizona portals
3;auxiliary;array;backing Acc;generate;engage
4;index engineer Mobility;Brand optical;Orchestrato;synergize Kansas;driver
5;1080p;quantify mobile;invoice Gua;Visionary Montana;Ferry group
6;sensor benchmark;Ergonomic Algerian Awesome;inputXXXXX;infrastructures;Fresh
7;bypassing;Chips Grass-roots;Greenland e;Chicken 24/7;interactive Wooden
8;Wyoming;best-of-breed;systems Sof;Account;Movies
9;Representative;Analyst Handmade;AssistantX;orchid Fresh;Computers program calculate
10;Cambridgeshire Soft;real-time SMS Singapore;Assistant m;transmitter Marketing;New online array
